date,email,name,company,industry,status
2026-07-11 13:59,admin@mauricedental.com,Maurice Dental,Maurice Dental Clinic,dental,sent
2026-07-11 14:02,info@wondersdentistry.com,Wonders Dentistry,Wonders Dentistry,dental,sent
2026-07-11 14:05,info@lmg.ae,Liberty Dental,Liberty Dental Clinic,dental,sent
2026-07-11 14:08,avancedentaldubai@gmail.com,Avance Dental,Avance Dental Clinic,dental,sent
2026-07-11 14:11,info@dentalcareclinic.ae,Dental Care Clinic,Dental Care Clinic,dental,sent
2026-07-11 14:14,jumeirah@dentistree.ae,DentisTree,DentisTree Jumeirah,dental,sent
2026-07-11 14:17,info@precisiondentalclinic.ae,Precision Dental,Precision Dental Clinic,dental,sent
2026-07-11 14:21,info@espace.ae,Espace Real Estate,Espace Real Estate,real estate,failed: Connection unexpectedly closed: The read operation timed out
2026-07-12 01:13,info@dentalcareegypt.com,Dental Care Egypt,Dental Care Egypt,dental,sent
2026-07-12 01:16,info@almeswak.com,AlMeswak Medical,AlMeswak Medical Group,dental,sent
2026-07-12 01:19,info@HorizonDent.com,Horizon Dental,Horizon Dental Center,dental,sent
2026-07-12 01:22,info@obeidhospitals.com,Obeid Hospital,Obeid Specialized Hospital,dental,sent
2026-07-12 01:25,info@stylishsmile.com,Smile Design,Smile Design Dental,dental,sent
2026-07-12 01:28,info@aquadentistry.com,AQUA Dent,AQUA Dent Clinics,dental,sent
2026-07-12 01:31,madina-road-dental@magrabi.com.sa,Magrabi Dental,Magrabi Health Dental,dental,sent
2026-07-12 01:34,info@tamdental.sa,TAM Dental,TAM Dental,dental,sent
2026-07-12 01:37,hello@element-realestate.com,Element Real Estate,Element Real Estate,real estate,sent
2026-07-12 01:40,info@theaddress-eg.com,The Address,The Address Consultancy,real estate,sent
2026-07-12 01:43,info@platinum-egypt.com,Platinum Properties,Platinum Properties Egypt,real estate,sent
2026-07-12 01:46,info@egyproperty-eg.com,EgyProperty,EgyProperty,real estate,sent
2026-07-12 01:49,Sales@chancesrealestate.com,Chances RE,Chances Real Estate,real estate,sent
2026-07-12 01:52,Realestate@egyptrealtor.com,Egypt Realtor,Egypt Realtor,real estate,sent
2026-07-12 01:55,info@sizzleregypt.com,Sizzler Egypt,Sizzler Steakhouse Egypt,restaurant,sent
2026-07-12 01:58,customerservice@cilantrocafe.net,Cilantro Cafe,Cilantro Cafe,restaurant,sent
2026-07-12 02:01,marketing@lapoire.net,La Poire,La Poire Group,restaurant,sent
2026-07-12 02:04,sales@peking-eg.com,Peking Restaurant,Peking Restaurant,restaurant,sent
2026-07-12 02:07,info@cheersegypt.com,Cheers Egypt,Cheers Egypt,restaurant,sent
2026-07-12 02:10,contactcentre@altayer-motors.com,Al Tayer Motors,Al Tayer Motors,car dealership,sent
2026-07-12 09:54,bmw@agmc.ae,AGMC BMW,AGMC BMW Dubai,car dealership,failed: Server not connected
2026-07-12 09:57,info@autodealsuae.com,Auto Deals UAE,Auto Deals UAE,car dealership,failed: please run connect() first
2026-07-12 10:00,info@maestro-motors.com,Maestro Motors,Maestro Motors Dubai,car dealership,failed: please run connect() first
2026-07-12 10:03,info@rasealmotors.com,Raseal Motors,Raseal Motors Dubai,car dealership,failed: please run connect() first
2026-07-12 11:03,Info@excellage.ae,Excellage Medical Spa,Excellage Medical Spa,dental,sent
